name,count,aliases,has fusion genres,influenced genres,subgenres,influenced by,subgenre of,fusion of
hard trap,12,"",,,,"hardstyle","trap edm",
indeterminacy,11,"",,,,,"modern classical",
nuevo flamenco,11,"flamenco nuevo, new flamenco","flamenco jazz",,,"blues, jazz, rock","flamenco",
mbube,11,"",,,,,,
neo-medieval folk,11,"neomedieval folk",,"medieval metal, medieval rock",,,"folk",
break-in,11,"",,,,,"comedy",
thumri,11,"",,,,,"hindustani classical",
arabesk,11,"",,"arabesk rap, özgün müzik",,,,
gospel reggae,11,"reggae gospel",,,,,"reggae",
afro trap,11,"afro-trap, afrotrap",,,,,"hip hop",
huayno,11,"huaino, huaiño, huayño, waynu, wayñu",,,,,,
samba soul,10,"",,,,"funk, soul","samba-rock",
purple sound,10,"",,,,"bit music, g-funk, grime, synth funk","dubstep",
neoperreo,10,"",,,,,"reggaeton",
classical period,10,"",,,,,"western classical",
techno kayō,10,"テクノ歌謡",,,,"synth-pop","kayōkyoku",
countrypolitan,10,"",,,,,"country pop",
future riddim,10,"",,,,"future bass, melodic dubstep","riddim dubstep",
medieval rock,10,"",,,,"hard rock, neo-medieval folk","folk rock",
fandango,9,"",,,"fandango caiçara",,,
colour bass,9,"",,,,"future bass, melodic dubstep","brostep",
wonky techno,9,"",,,,"breakbeat, electro, glitch","techno",
kacapi suling,9,"kecapi suling",,,,"tembang cianjuran","southeast asian classical",
madrigal,9,"",,,,,"western classical",
central asian throat singing,9,"khoomei, mongolian throat singing, tuvan throat singing",,,,,,
plainchant,9,"cantus planus, plainsong",,,"ambrosian chant, gregorian chant",,"medieval",
marching band,9,"korpsmusikk",,,"drumline, fife and drum, pep band","western classical",,
brazilian bass,9,"",,"slap house",,"deep house, tech house","house",
luk krung,9,"",,,,,,
bit music,9,"","bitpop","digital fusion, purple sound","bytebeat, chiptune, doskpop, fm synthesis",,"electronic",
parang,9,"",,,,,,
nocturne,8,"",,,,,"western classical",
reductionism,8,"",,,"lowercase, onkyo",,"experimental",
jovem guarda,8,"iê-iê-iê",,,,,"beat music",
brit funk,8,"brit-funk, britfunk",,,,,"funk",
burning spirits,8,"",,,,"heavy metal","hardcore punk",
rara,8,"",,,,"haitian vodou drumming",,
florida breaks,8,"",,,,"breakbeat hardcore, electro, house, miami bass, trance","breakbeat",
skinhead reggae,8,"",,,,,"reggae",
acoustic texas blues,8,"",,,,,"texas blues",
maskanda,8,"maskandi",,,,,,
yodeling,8,"yodel",,,,,"folk",
volkstümliche musik,8,"",,,,"folk","schlager",
sertanejo universitário,8,"sertanejo universitario","arrocha sertanejo",,"funknejo","pop","sertanejo",
traditional black gospel,8,"",,,,"blues, spirituals","gospel",
funk melody,8,"",,,,"contemporary r&b, dance-pop, freestyle","funk carioca",
salsa choke,8,"",,,,"hip hop, house, reggaeton","salsa",
charanga,8,"",,,,"son cubano",,
phleng phuea chiwit,8,"",,,,"luk thung, mor lam","folk rock",
uk street soul,8,"",,,,"hip hop, reggae, soul","contemporary r&b",
jit,8,"",,,,,,
symphonic poem,8,"tone poem",,,,,"western classical",
finnish tango,8,"suomalainen tango",,,,,"tango",
singeli,8,"",,,,"bongo flava, taarab","edm",
space rock revival,8,"",,,,"post-punk",,"neo-psychedelia, space rock"
abhang,8,"",,,,,"hindustani classical",
könsrock,7,"",,,,"post-punk","punk rock",
salsa dura,7,"",,,,,"salsa",
overture,7,"ouverture",,,,,"western classical",
sigilkore,7,"",,,,,"trap",
jerk rap,7,"",,,,"hyphy","hip hop",
cumbia mexicana,7,"mexican cumbia",,"cumbia norteña mexicana, tribal guarachero","cumbia sonidera","rock and roll","cumbia",
humppa,7,"",,,,"jazz",,
natya sangeet,7,"",,,,,"hindustani classical",
narcocorrido,7,"",,,,,"corrido",
kwela,7,"",,"mbaqanga",,"jazz, marabi",,
visa,7,"",,,,,"folk",
canción melódica,6,"",,,"bolero-beat",,"pop",
dennery segment,6,"",,,,"kuduro","soca",
bomba,6,"",,,,,,
tradi-modern,6,"congotronics",,,,,,
bubbling,6,"","bubbling house",,,"dancehall","edm",
mangue beat,6,"manguebeat, mangue bit, manguebit",,,,"alternative rock, ciranda, coco, funk rock, hip hop, maracatu","rock",
pluggnb,6,"plugg&b",,,,"jazz, r&b","plugg",
minatory,6,"",,,,"dark ambient, deathstep","electronic",
lento violento,6,"",,,,"euro-trance, hardcore techno, hardstyle, italo dance","edm",
tallava,6,"",,,,"dance-pop","folk pop",
junkanoo,6,"",,,,,,
picopop,6,"",,,,"electronic","shibuya-kei",
dubstyle,6,"",,,,"2-step, dubstep","hardstyle",
totalism,6,"",,,,"minimalism","modern classical",
joik,6,"",,,,,,
sacred harp,6,"",,,,,,
sierreño,6,"sierreña, sierreno",,,"corrido tumbado",,"norteño",
ars nova,5,"",,,,,"medieval",
electro latino,5,"electrolatino",,,,"bachata, merengue","edm",
tecnobrega,5,"tecno brega","brega funk",,,"electronic","brega",
xote,5,"",,,,"schottische",,
chutney,5,"","chutney soca",,,,,
choral symphony,5,"",,,,,"symphony",
opéra comique,5,"opéra-comique",,"singspiel",,,"opera",
sertanejo romântico,5,"sertanejo romantico",,,,"pop","sertanejo",
cubatón,5,"cubaton",,,,,"reggaeton",
detroit trap,5,"",,,,,"trap",
polonaise,5,"",,,,,,
jesus music,5,"",,"contemporary christian",,"contemporary folk, folk rock, psychedelic","pop",
zouk love,5,"zouk-love",,,,,"zouk",
piseiro,5,"",,,,,"forró eletrônico",
acoustic chicago blues,5,"",,,,,"chicago blues",
hard nrg,5,"",,,,"hard house, hi-nrg, trance","edm",
songo,5,"",,,,"funk, jazz, rumba cubana, son cubano",,
speed house,5,"",,,,"bass house, hard house","house",
duranguense,5,"",,,,,"norteño",
kaneka,5,"",,,,"reggae",,
wassoulou,5,"",,,,,,
funk ostentação,5,"",,,,"pop rap","funk carioca",
jota,4,"",,,,,,
jazz poetry,4,"",,,,"jazz","poetry",
batida,4,"",,,,,"kuduro",
sean-nós,4,"",,,,,"irish folk",
dabke,4,"",,,,,,
ballroom house,4,"vogue",,,,,"house",
motet,4,"",,,,,"western classical",
jazzstep,4,"",,"liquid funk",,"jazz","drum and bass",
qaraami,4,"",,,,"funk, jazz, pop, soul",,
diva house,4,"handbag house",,,"hardbag",,"house",
cuplé,4,"cuple",,"copla",,,,
bandari,4,"",,,,,,
sonorism,4,"",,,,"serialism, stochastic music","modern classical",
rhumba,4,"ballroom rumba",,,,"bolero, jazz, pop, rumba cubana, son cubano","latin",
mad,4,"",,,,,"plunderphonics",
donosti sound,4,"sonido donosti",,,,"twee pop","indie pop",
chinese revolutionary opera,4,"样板戏",,"korean revolutionary opera",,,"beijing opera",
tsugaru-jamisen,4,"津軽三味線",,,,,,
eleki,4,"",,"group sounds",,,"surf rock",
bouncy techno,4,"happy gabber, tartan techno",,"hard house, uk hardcore",,"gabber","happy hardcore",
takamba,4,"",,,,,,
neo-acoustic,4,"ネオアコ",,,,"folk rock, indie pop, jangle pop, new wave, post-punk","pop",
shaabi,4,"",,"trap shaabi","mahraganat",,,
doskpop,4,"",,,,"italo-disco, spacesynth","bit music",
kulintang,4,"",,,,,"southeast asian classical",
harawi,4,"",,,,,,
fungi,4,"quelbe",,,,,,
cadence lypso,4,"cadence-lypso",,"zouk",,,,"cadence rampa, calypso"
nortec,4,"",,,,"banda sinaloense, house, idm, norteño","edm",
huapango,4,"",,,,,,
pizzica,4,"",,,,,"tarantella",
batidão romântico,4,"",,,,"arrocha, kizomba","brega funk",
persian classical,4,"iranian classical",,"sufiana kalam",,"indian classical, islamic modal music","classical",
cueca,4,"",,"chilena",,"zamacueca",,
thai classical,4,"",,,"fon leb, khrueang sai, piphat",,"southeast asian classical",
cumbia sonidera,4,"",,,,,"cumbia mexicana",
khyal,4,"",,,,,"hindustani classical",
koplo,4,"",,"funkot",,"pop, reggae, rock","dangdut",
cuarteto,3,"",,,,,,
western classical,3,"western classical, western classical music","third stream","artcore, baroque pop, classical crossover, marching band, neoclassical dark wave, neoclassical metal, neoclassical new age, nuevo tango, operatic pop, progressive electronic, progressive rock, ryūkōka, shinkyoku, symphonic black metal, symphonic metal, symphonic prog, symphonic rock","art song, ballet, baroque, brass band, byzantine chant, cantata, classical period, concerto, contemporary classical, étude, impressionism, madrigal, march, mass, medieval, modern classical, motet, neoclassicism, nocturne, opera, oratorio, overture, prelude, renaissance, romantic classical, symphonic poem, symphony, zarzuela",,"classical",
marabi,3,"",,"kwela","mbaqanga",,"jazz",
samba-reggae,3,"samba reggae",,"pagodão",,"merengue, salsa",,"partido alto, reggae"
sardana,3,"",,,,,,
bikutsi,3,"",,,,,,
township jive,3,"jaiva",,"sungura, township bubblegum",,"kwaito, mbaqanga",,
kwassa kwassa,3,"",,,,,"soukous",
fantezi,3,"",,,,,,
balinese gamelan,3,"",,,"gamelan angklung, gamelan beleganjur, gamelan gender wayang, gamelan gong gede, gamelan gong kebyar, gamelan jegog, gamelan joged bumbung, gamelan selunding, gamelan semar pegulingan",,"gamelan",
cumbia villera,3,"",,"rkt",,"cumbia peruana","cumbia argentina",
moroccan chaabi,3,"",,,,,,
baila,3,"",,,,,,
rasteirinha,3,"",,,,"axé, reggaeton, samba","funk carioca",
stochastic music,3,"",,"sonorism",,,"modern classical",
q-pop,3,"",,,,,"pop",
pagode romântico,3,"pagode romantico",,,,"axé, pop, samba-rock, sertanejo","pagode",
changüí,3,"changui",,,,,,
moogsploitation,3,"",,,,,"electronic",
ars subtilior,3,"",,,,,"medieval",
tizita,3,"",,,,,,
candombe beat,3,"",,,,,,"beat music, candombe"
manila sound,3,"",,,,"disco, funk, kundiman, soft rock","pop rock",
tarantella,3,"",,,"pizzica, tammurriata",,"folk",
chinese opera,3,"",,"hát tuồng","beijing opera, cantonese opera, korean revolutionary opera, yue opera",,"chinese classical",
coupé-décalé,3,"coupe-decale",,,,"zouglou","edm",
ars antiqua,3,"",,,,,"medieval",
cumbia colombiana,3,"",,,,,"cumbia",
russian romance,3,"",,"avtorskaya pesnya",,,"art song",
mahraganat,3,"",,,,"edm, hip hop","shaabi",
samba-enredo,3,"",,,,,"samba",
rock andaluz,3,"",,,,"flamenco, symphonic prog","rock",
balearic trance,3,"ibiza trance",,,,"balearic beat","trance",
bolero español,3,"",,,,,,
whistling,3,"",,,,,,
marrabenta,3,"",,,,,,
joropo,3,"",,"onda nueva",,,,
country yodeling,3,"",,,,"traditional country","country",
pimba,3,"",,,,,,
rumba cubana,2,"cuban rumba",,"makossa, pachanga, rhumba, rumba catalana, songo","guaguancó",,,
samba-choro,2,"",,"samba de breque",,,,"choro, samba"
revue,2,"revista",,,,,"musical",
pop raï,2,"",,,,"pop","raï",
byzantine chant,2,"",,,,,"western classical",
mood kayō,2,"mood kayo",,,,"jazz","kayōkyoku",
tread,2,"",,,,"cloud rap","trap",
festival trap,2,"",,,,,"trap edm",
fife and drum,2,"",,"fife and drum blues",,,"marching band",
javanese gamelan,2,"",,,"gamelan salendro, gamelan sekaten, gamelan siteran",,"gamelan",
sundanese pop,2,"pop sunda",,,,,"pop",
marchinha,2,"",,"frevo",,,,
rock musical,2,"",,,,"rock","musical",
balani show,2,"",,,,,"edm",
turkish classical,2,"ottoman classical",,,,,"islamic modal music",
data sonification,2,"",,,,,"experimental",
folkhop,2,"",,,,"bhangra, hip hop",,
kuda lumping,2,"",,,,"gamelan, jaipongan",,
dansktop,2,"",,,,"dansband, schlager","pop",
rapso,2,"",,,,,,"hip hop, soca"
chutney soca,2,"",,,,,,"chutney, soca"
pacific reggae,2,"",,,,"folk","reggae",
habanera,2,"",,"danzón, vanera",,,,
punta,2,"",,,,,,
forró eletrônico,2,"",,,"piseiro",,"forró",
gwo ka,2,"gwoka",,"zouk",,,,
opera buffa,2,"",,,,,"opera",
estrada,2,"",,,,,,
talking blues,2,"",,,,,"folk",
nueva canción española,2,"",,,,"nova cançó","nueva canción",
beijing opera,2,"peking opera, 京剧, 京劇",,,"chinese revolutionary opera",,"chinese opera",
sacred steel,2,"",,,,"bebop, delta blues, electric blues","gospel",
maracatu,2,"","axé","mangue beat",,,,
seggae,2,"",,,,,,"reggae, séga"
guarania,2,"",,,,,,
vietnamese bolero,2,"",,,,"bolero",,
flex dance music,2,"",,,,"edm","dancehall",
sufi rock,2,"",,,,"hindustani classical","rock",
baithak gana,2,"",,,,,,
drumless hip hop,2,"",,,,,"hip hop",
gamelan selunding,2,"gamelan selonding",,,,,"balinese gamelan",
salsa romántica,2,"salsa romantica",,,,"pop","salsa",
sertanejo raiz,2,"sertanejo de raiz",,,"moda de viola",,"sertanejo",
jaipongan,2,"ᮏᮄᮕᮧᮍᮔ᮪",,"kuda lumping",,"gamelan",,
chipmunk soul,2,"",,,,"soul","hip hop",
palm-wine,2,"maringa",,,,"calypso",,
japanese classical,1,"",,,"gagaku, heikyoku, honkyoku, jiuta, jōruri, meiji shinkyoku, nagauta, noh, shōmyō, sōkyoku",,"classical",
tecnorumba,1,"tecno-rumba",,,,"rumba flamenca","dance-pop",
al jeel,1,"",,,,,,
shangaan electro,1,"",,,,,"edm",
cumbia pop,1,"",,,,"latin pop","cumbia argentina",
tamborito,1,"",,"tamborera",,,,
klapa,1,"",,,,,,
akishibu-kei,1,"アキシブ系",,,,"shibuya-kei","j-pop",
haitian vodou drumming,1,"",,"rara",,,,
grand opera,1,"grand opéra",,,,,"opera",
izlan,1,"",,,,,,
circus march,1,"",,,,,"march",
sinawi,1,"시나위, shinawi",,,,,,
power soca,1,"",,,,,"soca",
fuji,1,"",,,,,,
korean classical,1,"korean court music",,,"aak, dangak, gagok, hyangak, jeongak",,"classical",
pilón,1,"",,,,,,
bubbling house,1,"",,,,,,"bubbling, house"
palingsound,1,"",,,,,"pop",
country and irish,1,"country & irish",,,,,,"country, irish folk"
afro-zouk,1,"",,,,"soukous","zouk",
embolada,1,"",,,,,"coco",
tsapiky,1,"tsapika",,,,,,
runo song,1,"regilaul",,,"seto leelo",,,
yu-mex,1,"",,,,"regional mexicano",,
tiento,1,"",,,,,,
dimotiko,1,"dimotika, δημοτικά, δημοτικό",,,,,,
ciranda,1,"",,"mangue beat",,,,
mobb music,1,"",,,,"funk","hip hop",
opera seria,1,"",,,,,"opera",
repente,1,"",,,,,"cantoria",
islamic modal music,1,"middle eastern classical, middle eastern classical music",,"persian classical, sufiana kalam","iraqi maqam, mugham, sawt, turkish classical",,"classical",
cabo zouk,1,"cabo-love, cabo-zouk",,,,,"zouk",
waka,1,"",,,,,,
kasékò,1,"",,,,,,
gamelan angklung,1,"",,,,,"balinese gamelan",
afoxê,1,"",,,,,,
pasillo,1,"",,,,"waltz",,
nerdcore techno,1,"",,,,"breakbeat, jungle, techno","edm",
nova cançó,1,"nova canco",,"nueva canción española",,,"singer-songwriter",
bagad,1,"",,,,,"folk",
hambo,1,"",,,,,,
pagodão,1,"pagodao, pagode baiano","arrochadeira",,,"pagode, samba-reggae","samba",
aita,1,"",,,,,,
arabesk rap,1,"arabesque rap",,,,"arabesk","hip hop",
bullerengue,1,"",,,,,,
saeta,1,"",,,,"flamenco",,
novo dub,1,"",,,,"electronic","dub",
tammurriata,1,"",,,,,"tarantella",
cakewalk,1,"",,,,,,
pansori,1,"판소리",,,,,,
conducted improvisation,1,"",,,,"free improvisation, free jazz","experimental",
oriental ballad,1,"오리엔탈 발라드",,,,"gagok","korean ballad",
pipe band music,1,"",,,,,,
tropipop,1,"",,,,"vallenato","latin pop",
celtic electronica,1,"",,,,"celtic","electronic",
jungle dutch,1,"",,,,"dutch house, jersey club, jungle terror","breakbeat kota",
pìobaireachd,1,"pibroch, piobaireachd",,,,,"classical",
heaven trap,1,"",,,,"festival progressive house, melodic dubstep","trap edm",
son huasteco,1,"",,,,,"regional mexicano",
jongo,1,"",,,,,,
shanto,1,"",,,,"calypso",,
uzun hava,1,"",,,,,,
jamgrass,1,"",,,,"jam band","progressive bluegrass",
tamborera,1,"",,,,"danzón, tamborito",,
falak,1,"",,,,,"folk",
iraqi maqam,1,"",,,,,"islamic modal music",
kundiman,1,"",,"manila sound",,,,
mélodie,1,"",,,,,"art song",
microtonal classical,1,"",,,,,"modern classical",
tribal guarachero,1,"",,,,"cumbia mexicana, electro house, techno","edm",
sambass,1,"",,,,"bossa nova, samba","liquid funk",
merequetengue,1,"",,,,,,
chilena,1,"",,,,"cueca","regional mexicano",
mugham,1,"muğam",,,,,"islamic modal music",
arrocha,1,"","arrochadeira, arrocha sertanejo","batidão romântico",,,,
technobanda,1,"tecnobanda",,,,,"banda sinaloense",
modinha,0,"",,,,"opera",,
agbekor,0,"",,,,,,
nueva cumbia chilena,0,"",,,,,"cumbia",
onda nueva,0,"",,,,"bossa nova, jazz, joropo",,
doina,0,"",,,,,,
ca trù,0,"",,,,,"vietnamese classical",
vals criollo,0,"vals peruano",,,,"waltz",,
zoblazo,0,"",,,,,,
ambrosian chant,0,"",,,,,"plainchant",
chamarrita açoriana,0,"",,"chamarrita rioplatense",,,,
musique concrète instrumentale,0,"",,,,,"modern classical",
vanera,0,"vanerão, vanerinha",,,,"habanera",,
rom kbach,0,"",,,,,"pop",
kliningan,0,"",,,,"gamelan",,
gaelic psalm singing,0,"",,,,,,
maftirim,0,"",,,,,,
gamelan gong kebyar,0,"",,,,,"balinese gamelan",
fado de coimbra,0,"",,,,,"fado",
fife and drum blues,0,"",,,,"fife and drum","folk",
malay gamelan,0,"",,,,,"gamelan",
lute song,0,"",,,,,"art song",
tembang cianjuran,0,"tembang sunda",,"kacapi suling",,,"southeast asian classical",
bolero-beat,0,"",,,,"beat music","canción melódica",
bogino duu,0,"богино дуу",,,,,,
new complexity,0,"",,,,,"modern classical",
znamenny chant,0,"",,,,,,
saya afroboliviana,0,"",,,,,,
kalindula,0,"",,,,,,
sevdalinka,0,"",,,,,"folk",
rigsar,0,"",,,,,,
maddahi,0,"",,,,,,
tsonga disco,0,"",,,,,,
guaracha edm,0,"aleteo, zapateo",,,,"cumbia","tribal house",
mor lam sing,0,"",,,,"luk thung","mor lam",
méringue,0,"meringue",,"compas",,,,
punto,0,"",,"guajira",,,,
talempong,0,"",,,,,"southeast asian classical",
genge,0,"",,,,"dancehall","hip hop",
bomba del chota,0,"",,,,,,
merecumbé,0,"",,,,,,"cumbia, merengue"
gondang,0,"",,,,,,
boduberu,0,"",,,,,,
canto a lo poeta,0,"",,,,,,
southeast asian classical,0,"",,,"burmese classical, gamelan, kacapi suling, kulintang, mahori, pinpeat, saluang klasik, talempong, tembang cianjuran, thai classical",,"classical",
modern hardtek,0,"",,,,"free tekno, uk hardcore","hardcore techno",
gamelan gender wayang,0,"",,,,,"balinese gamelan",
agbadza,0,"",,,,,,
nueva canción chilena,0,"",,,,,"nueva canción",
meiji shinkyoku,0,"",,"shinkyoku",,,"japanese classical",
ondō,0,"ondo, 音頭",,,,,,
trap shaabi,0,"",,,,"shaabi","trap",
ripsaw,0,"",,,,,,
baul gaan,0,"",,,,,,
heikyoku,0,"平曲",,,,,"japanese classical",
qasidah modern,0,"",,,,"dangdut, pop",,
urumi melam,0,"",,,,,,
chamarrita rioplatense,0,"",,,,"chamarrita açoriana",,
pon-chak disco,0,"뽕짝 디스코",,,,"synth-pop","trot",
kumiuta,0,"組歌",,,,,"sōkyoku",
kapuka,0,"boomba music",,,,"hip hop, reggae",,
dungeon sound,0,"",,,,"darkstep","dubstep",
funknejo,0,"",,,,"funk carioca","sertanejo universitário",
cantu a tenore,0,"",,,,,,
gamelan semar pegulingan,0,"",,,,,"balinese gamelan",
sawt,0,"",,,,,"islamic modal music",
carnavalito,0,"",,,,,,
tondero,0,"",,,,,,
movimiento alterado,0,"",,,,"banda sinaloense","norteño",
stornello,0,"",,,,,"folk",
merenhouse,0,"",,,,"dancehall, hip hop, house","merengue",
dobrado,0,"",,,,"march",,
payada,0,"",,,,,,
krakowiak,0,"",,,,,,
burmese stereo,0,"",,,,"psychedelic","pop rock",
garba,0,"",,,,,,
vinahouse,0,"",,,,"eurodance, v-pop","house",
tarraxinha,0,"",,,,,"kizomba",
modern laiko,0,"",,,,"dance-pop, pop","laiko",
sufiana kalam,0,"",,,,"hindustani classical, islamic modal music, persian classical","classical",
tumba francesa,0,"",,,,,,
sigidrigi,0,"",,"vude",,,,
zhongguo feng,0,"中国风, 中國風",,,,"folk","c-pop",
carranga,0,"",,,,,,
sarala gee,0,"",,,,"hindustani classical",,
coon song,0,"",,,,"minstrelsy",,
moutya,0,"",,,,,,
jiuta,0,"地歌",,,,,"japanese classical",
trallalero,0,"",,,,,,
waulking song,0,"",,,,,"folk",
muiñeira,0,"muñeira",,,,,,
medieval lyric poetry,0,"troubadoric poetry",,,,,"medieval",
chotis madrileño,0,"",,,,"pasodoble, schottische",,
tchinkoumé,0,"",,,,,,
gamelan sekaten,0,"",,,,,"javanese gamelan",
jeongak,0,"",,,,,"korean classical",
canzone neomelodica,0,"",,,,,,"canzone napoletana, pop"
indo jazz,0,"",,,,"indian classical","jazz",
trova yucateca,0,"",,,,"bambuco, bolero","regional mexicano",
tassu,0,"",,,,,,
djanba,0,"",,,,,,
opera-ballet,0,"",,,,,,"ballet, opera"
bambuco,0,"",,"trova yucateca",,,,
arrocha funk,0,"",,,,,"funk carioca",
campursari,0,"",,,,"gamelan",,
himene tarava,0,"",,,,,,
yakousei,0,"",,,,"alternative dance, indie pop, indie rock, nu disco, post-punk revival","j-rock",
ngoma,0,"",,,"unyago",,,
rawphoric,0,"",,,,"euphoric hardstyle","rawstyle",
ballad opera,0,"",,"singspiel",,"folk","opera",
tragédie en musique,0,"",,,,,"opera",
zinli,0,"",,,,,,
timbila,0,"",,,,,,
lundu,0,"",,"maxixe, samba de gafieira",,,,
samba-joia,0,"",,,,"bolero","samba",
gamelan siteran,0,"",,,,,"javanese gamelan",
zeitoper,0,"",,,,,"opera",
rasin,0,"",,,,"rock",,
danmono,0,"",,,,,"sōkyoku",
jersey drill,0,"",,,,"jersey club","drill",
powada,0,"",,,,,,
tajaraste,0,"",,,,,"folk",
son calentano,0,"",,,,,"regional mexicano",
rkt,0,"",,,,"cumbia villera","reggaeton",
changa tuki,0,"",,,,"techno, tribal house","house",
piyyut,0,"",,,,,,
apala,0,"",,,,,,
kantan chamorrita,0,"",,,,,,
miejski folk,0,"",,,,"folk, punk","rock",
samba de gafieira,0,"",,,,"big band, lundu, maxixe","samba",
jersey sound,0,"new jersey sound",,,,"gospel","house",
tumba,0,"",,,,,,
rock andino,0,"andean rock",,,,"folk, progressive rock, psychedelic rock","rock",
corrido tumbado,0,"",,,,,"sierreño",
romanian popcorn,0,"",,,,,"dance-pop",
arrochadeira,0,"",,,,,,"arrocha, pagodão"
chèo,0,"",,,,,"musical",
saluang klasik,0,"",,,,,"southeast asian classical",
minstrelsy,0,"",,"coon song",,,"musical",
zouglou,0,"",,"coupé-décalé",,,,
sutartinės,0,"",,,,,"folk",
gamelan beleganjur,0,"",,,,,"balinese gamelan",
cumbia turra,0,"",,,,"reggaeton","cumbia argentina",
shima-uta,0,"shimauta, 島唄",,,,,,
chicago bop,0,"",,,,"drill","pop rap",
shashmaqam,0,"",,,,,"classical",
cải lương,0,"",,,,,,
fon leb,0,"ฟ้อนเล็บ",,,,,"thai classical",
bélé,0,"bele","biguine","zouk",,,,
ginan,0,"",,,,,,
muliza,0,"",,,,,,
ziglibithy,0,"",,,,"funk, makossa, soukous",,
kecak,0,"",,,,,,
pep band,0,"",,,,,"marching band",
meyxana,0,"meykhana",,,,,,
skiladiko,0,"skiladika, skyladika, skyladiko, σκυλάδικο",,,,,"laiko",
vietnamese classical,0,"",,,"ca trù, hát tuồng",,"classical",
cape breton fiddling,0,"",,,,,"celtic",
british brass band,0,"",,,,,"brass band",
valsa brasileira,0,"",,,,"choro","waltz",
gamelan gong gede,0,"",,,,,"balinese gamelan",
rabiz,0,"",,,,,,
shatta,0,"",,,,,"dancehall",
gambang kromong,0,"",,,,"gamelan",,
manyao,0,"",,,,"eurodance, house, mandopop, trance","edm",
goombay,0,"",,,,,,
cantoria,0,"",,,"repente",,,
funk proibidão,0,"proibidão",,,,,"funk carioca",
beat bruxaria,0,"",,,,,"funk mandelão",
mahori,0,"",,,,,"southeast asian classical",
kafi,0,"",,,,,,
özgün müzik,0,"",,,,"anatolian rock, arabesk",,
breakbeat kota,0,"",,,"jungle dutch","funkot","breakbeat",
gaita zuliana,0,"",,,,,,
cadence rampa,0,"","cadence lypso",,,,,
njuup,0,"",,,,,,
sōkyoku,0,"sokyoku, 箏曲",,,"danmono, kumiuta",,"japanese classical",
yaraví,0,"yaravi",,,,,,
congolese rumba,0,"rumba congolaise",,,,"son cubano",,
csárdás,0,"csardas, czardas, czárdás",,,,,,
quan họ,0,"",,,,,,
yayue,0,"雅樂",,,,,"chinese classical",
avtorskaya pesnya,0,"авторская песня","bard rock",,,"russian romance","singer-songwriter",
jōruri,0,"joruri, 浄瑠璃",,,,,"japanese classical",
cumbia norteña mexicana,0,"",,,,"cumbia mexicana","norteño",
tonadilla,0,"",,,,,,
bhavageethe,0,"bhaavageete, bhavageeth",,,,,,
balitaw,0,"",,,,,,
benna,0,"",,,,,,
zohioliin duu,0,"зохиолын дуу",,,,"pop",,
novelty piano,0,"",,,,,"ragtime",
bouyon,0,"",,,,,,
étude,0,"etude",,,,,"western classical",
township bubblegum,0,"",,,,"disco, mbaqanga, synth-pop, township jive","dance-pop",
canto cardenche,0,"",,,,,"regional mexicano",
neo kyma,0,"néo kýma, νέο κύμα",,,,"chanson française","éntekhno",
bocet,0,"",,,,,,
kagura,0,"神楽",,,,,,
cante alentejano,0,"",,,,,,
čalgija,0,"",,,,,,
muziki wa dansi,0,"",,"bongo flava",,"jazz, soukous",,
son istmeño,0,"",,,,,"regional mexicano",
jácara,0,"",,"guaracha",,,,
samba-exaltação,0,"samba-exaltacao",,"sambalanço",,,"samba",
taquirari,0,"",,,,,,
mulatós,0,"",,,,"folk","pop",
zamacueca,0,"",,"cueca, marinera, zamba",,,,
kanto,0,"",,,,,,
cumbia argentina,0,"bailanta","digital cumbia",,"cumbia pop, cumbia santafesina, cumbia turra, cumbia villera",,"cumbia",
hát tuồng,0,"vietnamese opera",,,,"chinese opera","vietnamese classical",
kilapanga,0,"",,"kuduro",,,,
seto leelo,0,"setu leelo",,,,,"runo song",
malagueña venezolana,0,"",,,,,,
gumbe,0,"",,,,,,
urtiin duu,0,"уртын дуу",,,,,,
famo,0,"",,,,,,
funk mandelão,0,"",,,"beat bruxaria","edm","funk carioca",
ambasse bey,0,"ambas-i-bay",,,,,,
samba de terreiro,0,"",,,,,"samba",
colindă,0,"colinde",,,,,,
guoyue,0,"minyue, 國樂, 民乐",,,,,"classical",
assiko,0,"",,,,,,
budots,0,"",,,,"house","edm",
santé engagé,0,"",,,,"séga",,
shinkyoku,0,"",,,,"meiji shinkyoku, western classical",,
chinese classical,0,"",,"burmese classical","baisha xiyue, chinese opera, dongjing, yayue",,"classical",
kouta,0,"小唄",,,,,,
samba de breque,0,"",,,,"samba-choro","samba",
hardgroove techno,0,"",,,,"tech house","techno",
malhun,0,"",,,,,,
sanjo,0,"산조",,,,,,
moda de viola,0,"",,,,,"sertanejo raiz",
filin,0,"",,,,"vocal jazz","bolero",
aboio,0,"",,,,,,
gagok,0,"가곡",,"oriental ballad",,,"korean classical",
rizitika,0,"ριζίτικα",,,,,,
yue opera,0,"shaoxing opera",,,,,"chinese opera",
brega calypso,0,"brega pop",,,,"calypso, carimbó, lambada, ska","brega",
bérite club,0,"",,,,"baltimore club, gqom, grime, kuduro, trap edm","edm",
nigun,0,"",,,,,,
fandango caiçara,0,"",,,,,"fandango",
baisha xiyue,0,"白沙细乐",,,,,"chinese classical",
shōmyō,0,"shomyo, 声明",,,,,"japanese classical",
